PLAYER_ID,PLAYER,SEASON,ARCHETYPE
202391,J. Lin,2017-18,Primary Ball Handler
200826,J. Barea,2016-17,Primary Ball Handler
202704,R. Jackson,2016-17,Primary Ball Handler
101108,Chris Paul,2021-22,Primary Ball Handler
2225,T. Parker,2018-19,Primary Ball Handler
1628365,Markelle Fultz,2020-21,Primary Ball Handler
1629027,Trae Young,2020-21,Primary Ball Handler
202704,R. Jackson,2015-16,Primary Ball Handler
101108,Chris Paul,2022-23,Primary Ball Handler
201565,D. Rose,2019-20,Primary Ball Handler
1627755,T. Ulis,2016-17,Primary Ball Handler
202689,K. Walker,2016-17,Primary Ball Handler
101150,L. Williams,2018-19,Primary Ball Handler
203471,Dennis Schröder,2015-16,Primary Ball Handler
200826,J. Barea,2018-19,Primary Ball Handler
203995,Vasilije Micic,2024-25,Primary Ball Handler
1628455,A. James,2017-18,Primary Ball Handler
201571,D. Augustin,2019-20,Primary Ball Handler
1628476,D. Walton Jr.,2021-22,Primary Ball Handler
1629027,Trae Young,2019-20,Primary Ball Handler
1627755,T. Ulis,2017-18,Primary Ball Handler
200826,J. Barea,2015-16,Primary Ball Handler
204456,T.J. McConnell,2023-24,Primary Ball Handler
101150,L. Williams,2020-21,Primary Ball Handler
1627739,Kris Dunn,2018-19,Primary Ball Handler
101108,Chris Paul,2015-16,Primary Ball Handler
201950,Jrue Holiday,2015-16,Primary Ball Handler
203081,Damian Lillard,2019-20,Primary Ball Handler
1629027,Trae Young,2021-22,Primary Ball Handler
101150,L. Williams,2019-20,Primary Ball Handler
2225,T. Parker,2015-16,Primary Ball Handler
1630175,Cole Anthony,2020-21,Primary Ball Handler
204025,T. Frazier,2019-20,Primary Ball Handler
201950,Jrue Holiday,2016-17,Primary Ball Handler
202689,K. Walker,2021-22,Primary Ball Handler
203471,Dennis Schröder,2016-17,Primary Ball Handler
204456,T.J. McConnell,2024-25,Primary Ball Handler
202397,I. Smith,2022-23,Primary Ball Handler
202689,K. Walker,2017-18,Primary Ball Handler
1629630,Ja Morant,2019-20,Primary Ball Handler
1630169,Tyrese Haliburton,2023-24,Secondary Point Guard
200765,R. Rondo,2015-16,Secondary Point Guard
101108,Chris Paul,2021-22,Secondary Point Guard
203901,Elfrid Payton,2024-25,Secondary Point Guard
201566,Russell Westbrook,2020-21,Secondary Point Guard
1629027,Trae Young,2024-25,Secondary Point Guard
200765,R. Rondo,2017-18,Secondary Point Guard
1630169,Tyrese Haliburton,2022-23,Secondary Point Guard
201935,James Harden,2016-17,Secondary Point Guard
101108,Chris Paul,2015-16,Secondary Point Guard
201566,Russell Westbrook,2015-16,Secondary Point Guard
204456,T.J. McConnell,2023-24,Secondary Point Guard
1629027,Trae Young,2023-24,Secondary Point Guard
201566,Russell Westbrook,2016-17,Secondary Point Guard
201566,Russell Westbrook,2018-19,Secondary Point Guard
2544,LeBron James,2019-20,Secondary Point Guard
201935,James Harden,2020-21,Secondary Point Guard
202322,J. Wall,2016-17,Secondary Point Guard
101108,Chris Paul,2016-17,Secondary Point Guard
203999,Nikola Jokić,2022-23,Secondary Point Guard
1629027,Trae Young,2022-23,Secondary Point Guard
201935,James Harden,2022-23,Secondary Point Guard
202322,J. Wall,2015-16,Secondary Point Guard
101108,Chris Paul,2020-21,Secondary Point Guard
201937,R. Rubio,2015-16,Secondary Point Guard
201937,R. Rubio,2019-20,Secondary Point Guard
203110,Draymond Green,2020-21,Secondary Point Guard
200826,J. Barea,2018-19,Secondary Point Guard
201566,Russell Westbrook,2017-18,Secondary Point Guard
1629027,Trae Young,2020-21,Secondary Point Guard
1629185,C. Chiozza,2020-21,Secondary Point Guard
202322,J. Wall,2017-18,Secondary Point Guard
203999,Nikola Jokić,2024-25,Secondary Point Guard
1629027,Trae Young,2021-22,Secondary Point Guard
101108,Chris Paul,2022-23,Secondary Point Guard
201937,R. Rubio,2016-17,Secondary Point Guard
201935,James Harden,2021-22,Secondary Point Guard
1628365,Markelle Fultz,2021-22,Secondary Point Guard
1630169,Tyrese Haliburton,2024-25,Secondary Point Guard
200826,J. Barea,2017-18,Secondary Point Guard
201935,James Harden,2018-19,Secondary Shot Creator
201935,James Harden,2019-20,Secondary Shot Creator
201935,James Harden,2024-25,Secondary Shot Creator
201935,James Harden,2017-18,Secondary Shot Creator
201935,James Harden,2021-22,Secondary Shot Creator
201935,James Harden,2020-21,Secondary Shot Creator
201935,James Harden,2022-23,Secondary Shot Creator
101108,Chris Paul,2017-18,Secondary Shot Creator
101108,Chris Paul,2018-19,Secondary Shot Creator
1628983,Shai Gilgeous-Alexander,2021-22,Secondary Shot Creator
1628369,Jayson Tatum,2024-25,Secondary Shot Creator
1628369,Jayson Tatum,2023-24,Secondary Shot Creator
2037,J. Crawford,2016-17,Secondary Shot Creator
1628983,Shai Gilgeous-Alexander,2024-25,Secondary Shot Creator
201566,Russell Westbrook,2019-20,Secondary Shot Creator
203915,Spencer Dinwiddie,2022-23,Secondary Shot Creator
201935,James Harden,2023-24,Secondary Shot Creator
203084,Harrison Barnes,2016-17,Secondary Shot Creator
2544,LeBron James,2017-18,Secondary Shot Creator
201935,James Harden,2015-16,Secondary Shot Creator
1628983,Shai Gilgeous-Alexander,2023-24,Secondary Shot Creator
201566,Russell Westbrook,2020-21,Secondary Shot Creator
1629029,Luka Dončić,2022-23,Secondary Shot Creator
202322,J. Wall,2018-19,Secondary Shot Creator
2546,C. Anthony,2015-16,Secondary Shot Creator
201935,James Harden,2016-17,Secondary Shot Creator
1629627,Zion Williamson,2024-25,Secondary Shot Creator
1627783,Pascal Siakam,2021-22,Secondary Shot Creator
1629627,Zion Williamson,2023-24,Secondary Shot Creator
1628983,Shai Gilgeous-Alexander,2022-23,Secondary Shot Creator
1629029,Luka Dončić,2023-24,Secondary Shot Creator
2546,C. Anthony,2016-17,Secondary Shot Creator
203954,Joel Embiid,2022-23,Secondary Shot Creator
202322,J. Wall,2020-21,Secondary Shot Creator
202322,J. Wall,2017-18,Secondary Shot Creator
203085,A. Rivers,2019-20,Secondary Shot Creator
203915,Spencer Dinwiddie,2024-25,Secondary Shot Creator
202697,I. Shumpert,2017-18,Secondary Shot Creator
203944,Julius Randle,2020-21,Secondary Shot Creator
